,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,split4_train_rmse,mean_train_rmse,std_train_rmse,split0_test_evs,split1_test_evs,split2_test_evs,split3_test_evs,split4_test_evs,mean_test_evs,std_test_evs,rank_test_evs,split0_train_evs,split1_train_evs,split2_train_evs,split3_train_evs,split4_train_evs,mean_train_evs,std_train_evs
0,37.51163601875305,2.6812622982460343,0.2083360195159912,0.015790118645131437,100,1300,"{'max_features': 100, 'n_estimators': 1300}",0.16103098697519252,0.16619232332957057,0.1658674048079699,0.1647790801693982,0.1686955552636266,0.16531307010915156,0.0024957147363458597,2,0.06175970112622972,0.06142448900533061,0.060938206838755546,0.06118822429507511,0.06052863630040379,0.061167851513158955,0.00041902185666684624,0.6438503720602646,0.6431814135561589,0.6533582811508508,0.6471933563400756,0.6292420527495035,0.6433650951713706,0.007927785434039108,9,0.95086517971109,0.9506559641611855,0.951113030801114,0.951089371446242,0.9521916564692231,0.951183040517771,0.0005310040246564103
1,43.28669028282165,1.407143565044613,0.24962754249572755,0.028672514305382407,100,1500,"{'max_features': 100, 'n_estimators': 1500}",0.16116420972633094,0.1660528544338996,0.16569755797825836,0.16527400304601295,0.16913299289236855,0.16546432361537405,0.0025450776976041864,1,0.06177306994798892,0.061429344224403916,0.061045923068486496,0.06095153332065447,0.060663669132904545,0.06117270793888767,0.0003874041419824107,0.6432656829880077,0.6437908596702009,0.6540610935143725,0.6450278897065536,0.6271994918994355,0.642669003555714,0.008674842198784496,10,0.9508437118851758,0.9506479139290753,0.9509407142193506,0.9514680583577383,0.9519754963583146,0.9511751789499309,0.0004835574068920611
2,117.37404646873475,3.578189871041891,0.22170348167419435,0.016632340254055588,500,1300,"{'max_features': 500, 'n_estimators': 1300}",0.15995945102816567,0.16481049686152546,0.1648565574351728,0.16495293253832707,0.1680409850594899,0.1645240845845362,0.0025915612750218586,5,0.061612030715022435,0.06116654502873735,0.060831807671445935,0.06104089443688128,0.0604358405363397,0.061017423677685347,0.00038704982490561554,0.6485933503875241,0.6493067125627899,0.6575423861482963,0.6462334252984268,0.6319981459820954,0.6467348040758265,0.008298110753191574,6,0.951106728119015,0.9510781121302675,0.9512901069043482,0.9513351704854418,0.952340762976006,0.9514301761230157,0.00046612906802935724
3,130.61110887527465,2.085540319524679,0.22640719413757324,0.0053997746300092474,500,1500,"{'max_features': 500, 'n_estimators': 1500}",0.16003904154918558,0.1649095169124253,0.16496173478374415,0.16466335341518165,0.16789669220605113,0.16449406777331754,0.0025236909373497853,6,0.061418768466270916,0.06108285277654331,0.06073321828290619,0.060931983524908806,0.06037997918382125,0.06090936044689009,0.0003468078735952601,0.6482139304522633,0.6488131546000364,0.6571002232465419,0.6475154016198121,0.6326654789375525,0.6468616377712413,0.007904733755975224,5,0.951413895687219,0.9512087563212123,0.9514445710575474,0.9515038224821277,0.952430524017755,0.9516003139131722,0.0004268218255627255
4,199.74333004951478,3.50911028186482,0.19371657371520995,0.006051682275261592,1000,1300,"{'max_features': 1000, 'n_estimators': 1300}",0.15924091899960172,0.1646952841731021,0.16486190772694553,0.16476854987927916,0.16730052242531143,0.164173436640848,0.0026536342187448193,9,0.06141254367737131,0.061105267080046224,0.06066843630727096,0.06090881542802707,0.060229104079961966,0.0608648333145355,0.00040061275756433614,0.6517584943763182,0.64986747014939,0.6575007990152624,0.6470089229828997,0.6351566777610222,0.6482584728569785,0.0073956477115011375,2,0.9514241407172703,0.9511776832743866,0.9515508646376383,0.9515442307308574,0.9526724515906526,0.9516738741901609,0.0005172364708146076
5,227.49792218208313,3.463559881632995,0.2165523052215576,0.004327875651431581,1000,1500,"{'max_features': 1000, 'n_estimators': 1500}",0.15935345790629024,0.1647788755375454,0.1646875397120694,0.1645833556383477,0.16754135493713873,0.16418891674627828,0.002659803086461206,8,0.06139467409107673,0.061015527010985185,0.060600842682382215,0.06087660703070614,0.060386529952843535,0.060854836153598754,0.00034685556145591895,0.6511911235060832,0.6494739742714062,0.6582329187169743,0.6478001949298892,0.6340586135167159,0.6481513649882137,0.007891211785221605,3,0.9514505323890665,0.9513201263177872,0.951656959438806,0.951595230288982,0.9524157932473327,0.9516877283363948,0.00038235436178666037
6,288.21751203536985,4.991719831088997,0.19479818344116212,0.011136218124957901,1500,1300,"{'max_features': 1500, 'n_estimators': 1300}",0.15890526538747757,0.1651923143204876,0.16513588831693135,0.16459239841665116,0.16745846721101207,0.16425686673051196,0.0028513226834889073,7,0.06125303832864026,0.06102082141570424,0.060727447562575254,0.06090480535736976,0.06051472331191063,0.06088416719524002,0.00025148202677520773,0.6532130041070408,0.6477389328454228,0.6564135732006897,0.6477583766139956,0.634416538355713,0.6479080850245724,0.0075174244548452665,4,0.9516786633429587,0.9513122841171844,0.951456273805818,0.9515478770854108,0.9522192684602578,0.9516428733623259,0.000311976014383667
7,354.4547748565674,14.409897927208439,0.2322627067565918,0.015003634440623395,1500,1500,"{'max_features': 1500, 'n_estimators': 1500}",0.15868034379001042,0.16489611824327483,0.16491808479937753,0.16489126903239773,0.1673846086856435,0.1641540849101408,0.0029008921194225022,10,0.061262452124618005,0.06107634784913388,0.06066721730641738,0.06084060648090848,0.0604137109691221,0.06085206694603997,0.00029838720224513606,0.6541264955050126,0.6490059570679994,0.6573003183051589,0.6464757431809778,0.6348169525663034,0.6483450933250905,0.0077532247335826655,1,0.9516594286977877,0.9512197590834479,0.951554502908226,0.9516542951030162,0.95238030159559,0.9516936574776136,0.0003789841244242574
8,435.5868426799774,9.86295709829214,0.21232872009277343,0.026011212337376844,2132,1300,"{'max_features': 2132, 'n_estimators': 1300}",0.15901249163189138,0.16589207504286965,0.16572668950721797,0.16543348086334403,0.1674096914457658,0.16469488569821775,0.002922436545662009,4,0.061483000634751955,0.06137360450719715,0.06109042770233497,0.06125693102226629,0.06083322683454081,0.06120743814021823,0.00022791271976459678,0.6527072836085996,0.6448685241674634,0.653974832099488,0.6441355408105369,0.634622219607132,0.646061680058644,0.006968169208194652,7,0.9513113049267554,0.9507453821137484,0.9508752237744987,0.9509872279190635,0.9517201251186872,0.9511278527705507,0.0003505201249001539
9,495.0007028579712,11.84164824793151,0.22434473037719727,0.002874979912223088,2132,1500,"{'max_features': 2132, 'n_estimators': 1500}",0.1589953382355693,0.16581319729266358,0.16571230395452896,0.16550541456561024,0.1678723959788453,0.1647797300054435,0.0030162273739079057,3,0.06160005534747061,0.06143786638907866,0.061093569104996456,0.06111182658342077,0.06059662710554755,0.06116798890610281,0.0003448657959244762,0.6527582940369079,0.6451531134733022,0.6540217533858053,0.6438307782861541,0.6325500328569598,0.6456627944078258,0.007691279261563709,8,0.9511234474002138,0.9506431324968828,0.9508707781606077,0.9512207222718793,0.9520902289737118,0.9511896618606592,0.0004933054608774159
