,model,scaler,train_mse,test_mse,train_rmse,test_rmse,train_evs,test_evs
0,LinearRegression,MinMaxScaler,0.014773236497383982,0.046373936239884755,0.12154520351451134,0.21534608480277684,0.7621926295070195,0.385544529298799
1,Ridge,MinMaxScaler,0.01517586852242628,0.043658771351827746,0.12319037512089279,0.208946814648675,0.7491254377168142,0.421269391938049
2,RandomForestRegressor,MinMaxScaler,0.0038591220223206167,0.027658568284137656,0.0621218320908247,0.16630865366581998,0.9330739038218607,0.6334801036355098
3,SVR,MinMaxScaler,0.007437205286186809,0.027253724241259054,0.08623923287104779,0.16508702020831031,0.856433643487872,0.63900422977006
4,KNeighborsRegressor,MinMaxScaler,0.019015166510159807,0.02935723180495086,0.13789549126117143,0.17133952201681565,0.6552827026805185,0.6115258965976562
5,LinearRegression,StandardScaler,0.014769349463323277,0.046330335409466177,0.1215292123866656,0.2152448266729451,0.762250175637809,0.3861288881870658
6,Ridge,StandardScaler,0.014937551299243502,0.04315823560025057,0.12221927548158475,0.20774560308283438,0.7540797726361562,0.4279985388452614
7,RandomForestRegressor,StandardScaler,0.003904309524715216,0.027714823827133927,0.062484474269335226,0.16647769768690918,0.9321788919471736,0.6326682226745232
8,SVR,StandardScaler,0.007812777549289551,0.026666571566556344,0.08838991769025216,0.16329902500185464,0.8515728443890762,0.646832781183142
9,KNeighborsRegressor,StandardScaler,0.018614043422828998,0.029675809616192605,0.13643329294138215,0.17226668167754497,0.6629336268291703,0.6076136778088749
10,LinearRegression,Normalizer,0.014712926727003493,0.047017216706441364,0.12129685373909536,0.21683453762360222,0.7633627328898054,0.37688252575027414
11,Ridge,Normalizer,0.015316603190304865,0.04360363003826787,0.12376026498963577,0.20881482236246515,0.7464682650374457,0.42201285808299427
12,RandomForestRegressor,Normalizer,0.003930584656749375,0.029359142992638115,0.0626943750008673,0.17134509912057047,0.9312931336363959,0.6109817393437816
13,SVR,Normalizer,0.007431218284938011,0.027275545715913535,0.0862045142955867,0.16515309780901336,0.8564674982765692,0.6387224617845519
14,KNeighborsRegressor,Normalizer,0.019046312125859277,0.029242437140390633,0.13800837701335117,0.17100420211325404,0.6543073030532831,0.613132570481635
